sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Modoc County,,06049,2020-03-24,,-12,,,-33,
Modoc County,,06049,2020-03-25,,,,,-29,
Modoc County,,06049,2020-03-26,,-3,,,-32,
Modoc County,,06049,2020-03-27,-59,-9,,,-26,
Modoc County,,06049,2020-03-30,,-25,,,-32,
Modoc County,,06049,2020-03-31,,6,,,-28,
Modoc County,,06049,2020-04-01,,,,,-32,
Modoc County,,06049,2020-04-02,,,,,-40,
Modoc County,,06049,2020-04-03,,4,,,-26,
Modoc County,,06049,2020-04-06,,,,,-23,
Modoc County,,06049,2020-04-07,,,,,-28,
Modoc County,,06049,2020-04-08,,,,,-29,
Modoc County,,06049,2020-04-09,,,,,-29,
Modoc County,,06049,2020-04-10,,,,,-28,
Modoc County,,06049,2020-04-13,,,,,-26,
Modoc County,,06049,2020-04-14,,,,,-22,
Modoc County,,06049,2020-04-15,,,,,-27,
Modoc County,,06049,2020-04-16,,,,,-23,
Modoc County,,06049,2020-04-17,,,,,-24,
Modoc County,,06049,2020-04-20,,,,,-22,
Modoc County,,06049,2020-04-21,,,,,-24,
Modoc County,,06049,2020-04-22,,,,,-23,
Modoc County,,06049,2020-04-23,,,,,-25,
Modoc County,,06049,2020-04-24,,,,,-25,
Modoc County,,06049,2020-04-27,,,,,-26,
Modoc County,,06049,2020-04-28,,,,,-29,
Modoc County,,06049,2020-04-29,,,,,-26,
Modoc County,,06049,2020-04-30,,,,,-24,
Modoc County,,06049,2020-05-01,,,,,-17,
Modoc County,,06049,2020-05-04,,,,,-24,
Modoc County,,06049,2020-05-05,,,,,-20,
Modoc County,,06049,2020-05-06,,,,,-25,
Modoc County,,06049,2020-05-07,,,,,-28,
Modoc County,,06049,2020-05-08,,,,,-27,
Modoc County,,06049,2020-05-11,,,,,-27,
Modoc County,,06049,2020-05-12,,,,,-24,
Modoc County,,06049,2020-05-13,,,,,-23,
Modoc County,,06049,2020-05-14,,,,,-27,
Modoc County,,06049,2020-05-15,,,,,-22,
Modoc County,,06049,2020-05-18,,,,,-23,
Modoc County,,06049,2020-05-19,,,,,-21,
Modoc County,,06049,2020-05-20,,,,,-22,
Modoc County,,06049,2020-05-21,,,,,-23,
Modoc County,,06049,2020-05-22,,,,,-23,
Modoc County,,06049,2020-05-25,,,,,-67,
Modoc County,,06049,2020-05-26,,,,,-15,
Modoc County,,06049,2020-05-27,,,,,-18,
Modoc County,,06049,2020-05-28,,,,,-20,
Modoc County,,06049,2020-05-29,,,,,-22,
Modoc County,,06049,2020-06-01,,,,,-14,
Modoc County,,06049,2020-06-02,,,,,-17,
Modoc County,,06049,2020-06-03,,,,,-20,
Modoc County,,06049,2020-06-04,,,,,-24,
Modoc County,,06049,2020-06-05,,,,,-19,
Modoc County,,06049,2020-06-08,,,,,-23,
Modoc County,,06049,2020-06-09,,,,,-21,
Modoc County,,06049,2020-06-10,,,,,-16,
Modoc County,,06049,2020-06-11,,,,,-21,
Modoc County,,06049,2020-06-12,,,,,-18,
Modoc County,,06049,2020-06-15,,,,,-22,
Modoc County,,06049,2020-06-16,,,,,-14,
Modoc County,,06049,2020-06-17,,,,,-18,
Modoc County,,06049,2020-06-18,,,,,-20,
Modoc County,,06049,2020-06-19,,,,,-19,
Modoc County,,06049,2020-06-22,,,,,-16,
Modoc County,,06049,2020-06-23,,,,,-17,
Mono County,,06051,2020-02-15,-8,16,49,,2,
Mono County,,06051,2020-02-16,16,,,,2,
Mono County,,06051,2020-02-17,25,,,,-20,
Mono County,,06051,2020-02-18,24,-4,,,-5,
Mono County,,06051,2020-02-19,27,3,,,2,
Mono County,,06051,2020-02-20,31,2,,,1,
Mono County,,06051,2020-02-21,12,8,,,-1,
Mono County,,06051,2020-02-22,4,14,11,,-2,
Mono County,,06051,2020-02-23,6,7,,,-8,
Mono County,,06051,2020-02-24,-12,,,,-5,
Mono County,,06051,2020-02-25,-3,-26,,,-8,
Mono County,,06051,2020-02-26,5,-26,,,-3,
Mono County,,06051,2020-02-27,9,2,,,-9,
Mono County,,06051,2020-02-28,5,-10,-2,,-5,
Mono County,,06051,2020-02-29,0,0,-9,,-3,
Mono County,,06051,2020-03-01,-9,-15,-16,,0,
Mono County,,06051,2020-03-02,-10,-10,,,-2,
Mono County,,06051,2020-03-03,4,-4,,,-3,
Mono County,,06051,2020-03-04,2,-7,,,-1,
Mono County,,06051,2020-03-05,1,-18,,,1,
Mono County,,06051,2020-03-06,-10,-15,-18,,-4,
Mono County,,06051,2020-03-07,-20,-11,-28,,-5,
Mono County,,06051,2020-03-08,-18,-15,-7,,-8,
Mono County,,06051,2020-03-09,-22,-8,,,-6,
Mono County,,06051,2020-03-10,-8,-18,,,-7,
Mono County,,06051,2020-03-11,-10,-9,,,-5,
Mono County,,06051,2020-03-12,-2,8,,,-3,
Mono County,,06051,2020-03-13,-18,8,-18,,-2,
Mono County,,06051,2020-03-14,-34,5,-30,,-11,
Mono County,,06051,2020-03-15,-57,4,-30,,-15,
Mono County,,06051,2020-03-16,-71,-34,,,-30,
Mono County,,06051,2020-03-17,-62,-46,,,-36,
Mono County,,06051,2020-03-18,-69,-45,,,-34,
Mono County,,06051,2020-03-19,-72,-46,,,-44,
Mono County,,06051,2020-03-20,-82,-51,-44,,-51,
Mono County,,06051,2020-03-21,-92,-67,-51,,-59,
Mono County,,06051,2020-03-22,-96,-57,-52,,-62,
Mono County,,06051,2020-03-23,-89,-56,,,-53,
Mono County,,06051,2020-03-24,-80,-56,,,-55,
Mono County,,06051,2020-03-25,-88,-64,,,-57,
Mono County,,06051,2020-03-26,-92,-62,-53,,-57,
Mono County,,06051,2020-03-27,-93,-62,-44,,-59,
Mono County,,06051,2020-03-28,-97,-68,-63,,-65,
Mono County,,06051,2020-03-29,-100,-60,-57,,-73,
Mono County,,06051,2020-03-30,-89,-54,,,-49,
Mono County,,06051,2020-03-31,-89,-64,,,-61,
Mono County,,06051,2020-04-01,-88,-58,,,-56,
Mono County,,06051,2020-04-02,-82,,,,-57,
Mono County,,06051,2020-04-03,-87,-67,-51,,-63,
Mono County,,06051,2020-04-04,-96,-67,-61,,-71,
Mono County,,06051,2020-04-05,-100,,,,-73,
Mono County,,06051,2020-04-06,,,,,-60,
Mono County,,06051,2020-04-07,,,,,-59,
Mono County,,06051,2020-04-08,,,,,-57,
Mono County,,06051,2020-04-09,,,-59,,-64,
Mono County,,06051,2020-04-10,,,-44,,-63,
Mono County,,06051,2020-04-11,-96,,-46,,-70,
Mono County,,06051,2020-04-12,,,-49,,-71,
Mono County,,06051,2020-04-13,,,,,-59,
Mono County,,06051,2020-04-14,,,,,-58,
Mono County,,06051,2020-04-15,,,,,-59,
Mono County,,06051,2020-04-16,,,,,-60,
Mono County,,06051,2020-04-17,-93,,-63,,-65,
Mono County,,06051,2020-04-18,-96,,-46,,-71,
Mono County,,06051,2020-04-19,-94,,-22,,-69,
Mono County,,06051,2020-04-20,,,,,-57,
Mono County,,06051,2020-04-21,,,,,-58,
Mono County,,06051,2020-04-22,,,,,-57,
Mono County,,06051,2020-04-23,,,,,-59,
Mono County,,06051,2020-04-24,-88,,-29,,-61,
Mono County,,06051,2020-04-25,-92,,-30,,-64,
Mono County,,06051,2020-04-26,-94,,-9,,-61,
Mono County,,06051,2020-04-27,,,,,-59,
Mono County,,06051,2020-04-28,,,,,-60,
Mono County,,06051,2020-04-29,,,,,-56,
Mono County,,06051,2020-04-30,,,,,-56,
Mono County,,06051,2020-05-01,,,-24,,-57,
Mono County,,06051,2020-05-02,-91,,-27,,-64,
Mono County,,06051,2020-05-03,-93,,-16,,-56,
Mono County,,06051,2020-05-04,,,,,-48,
Mono County,,06051,2020-05-05,,,,,-47,
Mono County,,06051,2020-05-06,,,,,-48,
Mono County,,06051,2020-05-07,,,,,-50,
Mono County,,06051,2020-05-08,,,-4,-58,-53,
Mono County,,06051,2020-05-09,-89,,2,-67,-63,
Mono County,,06051,2020-05-10,-91,,,,-58,
Mono County,,06051,2020-05-11,,,,,-49,
Mono County,,06051,2020-05-12,,,,,-51,
Mono County,,06051,2020-05-13,,,,,-48,
Mono County,,06051,2020-05-14,-77,,,,-55,
Mono County,,06051,2020-05-15,-83,-53,,-69,-52,
Mono County,,06051,2020-05-16,-87,,16,-63,-59,
Mono County,,06051,2020-05-17,-91,,-17,,-55,
Mono County,,06051,2020-05-18,,,,,-48,
Mono County,,06051,2020-05-19,,,,,-48,
Mono County,,06051,2020-05-20,,,,,-39,
Mono County,,06051,2020-05-21,-74,,,,-45,
Mono County,,06051,2020-05-22,-77,-51,7,-55,-49,
Mono County,,06051,2020-05-23,-80,-42,,-44,-54,
Mono County,,06051,2020-05-24,-76,,,,-52,
Mono County,,06051,2020-05-25,-71,,,,-62,
Mono County,,06051,2020-05-26,,-24,,,-39,
Mono County,,06051,2020-05-27,,-13,,,-40,
Mono County,,06051,2020-05-28,,,,,-44,
Mono County,,06051,2020-05-29,-74,-45,,-46,-45,
Mono County,,06051,2020-05-30,-82,-39,36,-49,-47,
Mono County,,06051,2020-05-31,-78,,,,-45,
Mono County,,06051,2020-06-01,-69,,,,-42,
Mono County,,06051,2020-06-02,,-9,,,-42,
Mono County,,06051,2020-06-03,,,,,-35,
Mono County,,06051,2020-06-04,,,,,-41,
Mono County,,06051,2020-06-05,-66,-36,,-40,-43,
Mono County,,06051,2020-06-06,-72,-28,,-47,-47,
Mono County,,06051,2020-06-07,-74,,,,-44,
Mono County,,06051,2020-06-08,-62,,,,-35,
Mono County,,06051,2020-06-09,,-12,,,-38,
Mono County,,06051,2020-06-10,,,,,-37,
Mono County,,06051,2020-06-11,,,,,-37,
Mono County,,06051,2020-06-12,-58,-26,,,-43,
Mono County,,06051,2020-06-13,-66,-23,,-31,-45,
Mono County,,06051,2020-06-14,-57,,,,-32,
Mono County,,06051,2020-06-15,-44,,,,-42,
Mono County,,06051,2020-06-16,-33,12,,,-35,
Mono County,,06051,2020-06-17,-27,,,,-33,
Mono County,,06051,2020-06-18,-22,,,,-34,
Mono County,,06051,2020-06-19,-42,-5,,,-40,
Mono County,,06051,2020-06-20,-48,14,,-3,-47,
Mono County,,06051,2020-06-21,-39,,,,-39,
Mono County,,06051,2020-06-22,-25,,,,-34,
Mono County,,06051,2020-06-23,-21,,,,-37,
Monterey County,,06053,2020-02-15,11,8,29,15,-1,-1
Monterey County,,06053,2020-02-16,18,9,71,13,-4,-1
Monterey County,,06053,2020-02-17,20,3,101,6,-36,7
Monterey County,,06053,2020-02-18,3,4,22,8,0,0
Monterey County,,06053,2020-02-19,4,2,19,6,0,0
Monterey County,,06053,2020-02-20,5,3,33,6,1,-1
Monterey County,,06053,2020-02-21,2,3,12,2,5,0
Monterey County,,06053,2020-02-22,3,2,-5,3,2,0
Monterey County,,06053,2020-02-23,7,4,15,1,-3,0
Monterey County,,06053,2020-02-24,1,0,16,1,6,-1
Monterey County,,06053,2020-02-25,4,5,24,12,2,-1
Monterey County,,06053,2020-02-26,7,6,29,5,2,-1
Monterey County,,06053,2020-02-27,7,6,25,9,2,-1
Monterey County,,06053,2020-02-28,2,6,9,6,5,-1
Monterey County,,06053,2020-02-29,6,4,-3,11,1,-1
Monterey County,,06053,2020-03-01,9,3,-10,0,-4,0
Monterey County,,06053,2020-03-02,7,7,15,9,7,-1
Monterey County,,06053,2020-03-03,9,12,30,7,2,-2
Monterey County,,06053,2020-03-04,7,7,19,4,2,-1
Monterey County,,06053,2020-03-05,8,9,21,9,2,-1
Monterey County,,06053,2020-03-06,1,7,-1,4,6,-1
Monterey County,,06053,2020-03-07,3,7,-20,-3,0,0
Monterey County,,06053,2020-03-08,7,9,13,5,-3,0
Monterey County,,06053,2020-03-09,6,12,17,3,6,-1
Monterey County,,06053,2020-03-10,5,12,-6,0,1,1
Monterey County,,06053,2020-03-11,8,14,25,5,1,0
Monterey County,,06053,2020-03-12,9,21,25,6,1,0
Monterey County,,06053,2020-03-13,2,33,-2,-4,2,1
Monterey County,,06053,2020-03-14,-7,23,-29,-10,-4,3
Monterey County,,06053,2020-03-15,-12,10,-34,-11,-10,6
Monterey County,,06053,2020-03-16,-1,24,-12,-15,-18,8
Monterey County,,06053,2020-03-17,-6,31,-17,-15,-27,11
Monterey County,,06053,2020-03-18,-30,1,-23,-31,-39,16
Monterey County,,06053,2020-03-19,-32,-4,2,-26,-40,16
Monterey County,,06053,2020-03-20,-39,-7,-18,-34,-38,17
Monterey County,,06053,2020-03-21,-49,-17,-51,-42,-32,15
Monterey County,,06053,2020-03-22,-49,-23,-47,-46,-35,14
Monterey County,,06053,2020-03-23,-38,-18,-35,-42,-42,19
Monterey County,,06053,2020-03-24,-38,-16,-22,-37,-45,19
Monterey County,,06053,2020-03-25,-38,-15,-32,-41,-48,20
Monterey County,,06053,2020-03-26,-37,-14,-20,-33,-46,19
Monterey County,,06053,2020-03-27,-42,-15,-31,-37,-43,19
Monterey County,,06053,2020-03-28,-51,-22,-56,-43,-35,15
Monterey County,,06053,2020-03-29,-46,-19,-48,-45,-43,14
Monterey County,,06053,2020-03-30,-36,-18,-20,-34,-43,16
Monterey County,,06053,2020-03-31,-35,-13,-19,-29,-47,17
Monterey County,,06053,2020-04-01,-35,-12,-31,-28,-48,17
Monterey County,,06053,2020-04-02,-35,-10,-21,-25,-47,17
Monterey County,,06053,2020-04-03,-39,-8,-36,-32,-45,18
Monterey County,,06053,2020-04-04,-48,-16,-60,-36,-35,14
Monterey County,,06053,2020-04-05,-53,-29,-79,-50,-46,16
Monterey County,,06053,2020-04-06,-36,-12,-48,-38,-47,20
Monterey County,,06053,2020-04-07,-37,-12,-30,-25,-49,19
Monterey County,,06053,2020-04-08,-40,-16,-40,-28,-48,18
Monterey County,,06053,2020-04-09,-38,-11,-37,-24,-50,19
Monterey County,,06053,2020-04-10,-40,-8,-29,-30,-48,19
Monterey County,,06053,2020-04-11,-45,-10,-56,-32,-33,13
Monterey County,,06053,2020-04-12,-54,-20,-61,-39,-43,14
Monterey County,,06053,2020-04-13,-39,-17,-25,-33,-44,15
Monterey County,,06053,2020-04-14,-39,-13,-13,-23,-45,16
Monterey County,,06053,2020-04-15,-41,-9,-16,-28,-46,16
Monterey County,,06053,2020-04-16,-53,-11,-32,-21,-46,17
Monterey County,,06053,2020-04-17,-56,-11,-38,-31,-42,18
Monterey County,,06053,2020-04-18,-58,-9,-48,-25,-27,12
Monterey County,,06053,2020-04-19,-54,-6,-35,-28,-36,12
Monterey County,,06053,2020-04-20,-52,-14,-26,-29,-41,15
Monterey County,,06053,2020-04-21,-52,-12,-23,-23,-44,15
Monterey County,,06053,2020-04-22,-52,-11,-14,-21,-44,15
Monterey County,,06053,2020-04-23,-51,-8,-11,-18,-44,15
Monterey County,,06053,2020-04-24,-53,-8,-12,-23,-40,16
Monterey County,,06053,2020-04-25,-54,-7,-30,-22,-27,10
Monterey County,,06053,2020-04-26,-50,-2,-21,-23,-33,11
Monterey County,,06053,2020-04-27,-49,-11,-9,-23,-39,13
Monterey County,,06053,2020-04-28,-49,-8,-9,-11,-43,6
Monterey County,,06053,2020-04-29,-48,-9,-24,-23,-43,14
Monterey County,,06053,2020-04-30,-45,-4,-10,-11,-43,14
Monterey County,,06053,2020-05-01,-48,-1,-19,-20,-39,14
Monterey County,,06053,2020-05-02,-49,-1,-33,-14,-23,9
Monterey County,,06053,2020-05-03,-46,3,-25,-21,-30,10
Monterey County,,06053,2020-05-04,-45,-3,-15,-20,-38,12
Monterey County,,06053,2020-05-05,-45,2,-14,-10,-40,12
Monterey County,,06053,2020-05-06,-45,-2,-10,-16,-41,13
Monterey County,,06053,2020-05-07,-43,2,-1,-12,-41,13
Monterey County,,06053,2020-05-08,-45,4,-13,-17,-36,14
Monterey County,,06053,2020-05-09,-45,12,-32,-11,-19,7
Monterey County,,06053,2020-05-10,-44,17,-20,-14,-25,8
Monterey County,,06053,2020-05-11,-46,-7,-17,-19,-36,11
Monterey County,,06053,2020-05-12,-44,-2,-16,-11,-39,13
Monterey County,,06053,2020-05-13,-45,-5,-13,-16,-39,13
Monterey County,,06053,2020-05-14,-44,-1,-5,-10,-38,12
Monterey County,,06053,2020-05-15,-47,-3,-12,-15,-35,13
Monterey County,,06053,2020-05-16,-46,3,-16,-16,-18,7
Monterey County,,06053,2020-05-17,-44,1,-26,-22,-27,9
Monterey County,,06053,2020-05-18,-43,-3,-16,-18,-34,12
Monterey County,,06053,2020-05-19,-43,-3,-7,-9,-36,11
Monterey County,,06053,2020-05-20,-42,-3,-12,-14,-37,12
Monterey County,,06053,2020-05-21,-40,3,5,-7,-37,11
Monterey County,,06053,2020-05-22,-41,3,5,-13,-34,12
Monterey County,,06053,2020-05-23,-41,8,6,-11,-14,5
Monterey County,,06053,2020-05-24,-34,15,53,-12,-25,6
Monterey County,,06053,2020-05-25,-38,8,98,-20,-60,16
Monterey County,,06053,2020-05-26,-37,4,25,-9,-35,10
Monterey County,,06053,2020-05-27,-38,4,20,-9,-36,10
Monterey County,,06053,2020-05-28,-38,2,13,-9,-35,10
Monterey County,,06053,2020-05-29,-42,2,-2,-11,-30,11
Monterey County,,06053,2020-05-30,-43,2,-23,-17,-10,6
Monterey County,,06053,2020-05-31,-37,7,-1,-14,-21,8
Monterey County,,06053,2020-06-01,-38,3,4,-12,-29,8
Monterey County,,06053,2020-06-02,-38,6,19,-1,-33,9
Monterey County,,06053,2020-06-03,-33,9,26,-4,-34,9
Monterey County,,06053,2020-06-04,-32,10,25,-3,-34,9
Monterey County,,06053,2020-06-05,-35,5,1,-9,-29,9
Monterey County,,06053,2020-06-06,-34,7,6,-10,-8,3
Monterey County,,06053,2020-06-07,-27,9,12,-14,-20,6
Monterey County,,06053,2020-06-08,-32,1,18,-9,-28,7
Monterey County,,06053,2020-06-09,-31,3,29,-6,-32,8
Monterey County,,06053,2020-06-10,-27,4,30,-10,-33,8
Monterey County,,06053,2020-06-11,-26,4,34,0,-32,8
Monterey County,,06053,2020-06-12,-30,1,19,-4,-28,8
Monterey County,,06053,2020-06-13,-27,7,24,3,-7,2
Monterey County,,06053,2020-06-14,-19,11,49,-3,-18,4
Monterey County,,06053,2020-06-15,-27,-1,27,-11,-29,7
Monterey County,,06053,2020-06-16,-27,1,31,0,-32,7
Monterey County,,06053,2020-06-17,-26,1,40,-2,-33,7
Monterey County,,06053,2020-06-18,-23,6,49,4,-32,7
Monterey County,,06053,2020-06-19,-26,3,29,2,-29,7
Monterey County,,06053,2020-06-20,-23,13,25,4,-5,1
Monterey County,,06053,2020-06-21,-20,15,50,3,-15,3
Monterey County,,06053,2020-06-22,-26,-4,27,-9,-31,7
Monterey County,,06053,2020-06-23,-24,1,34,4,-33,7
Napa County,,06055,2020-02-15,12,8,47,,1,-1
Napa County,,06055,2020-02-16,27,24,74,,2,-2
Napa County,,06055,2020-02-17,16,15,,-7,-40,8
Napa County,,06055,2020-02-18,7,12,39,,2,-2
Napa County,,06055,2020-02-19,3,6,21,,1,0
Napa County,,06055,2020-02-20,6,7,39,,-1,0
Napa County,,06055,2020-02-21,8,8,33,,3,-1
Napa County,,06055,2020-02-22,9,6,46,,2,-2
Napa County,,06055,2020-02-23,11,8,45,,2,-1
Napa County,,06055,2020-02-24,3,9,25,,3,-1
Napa County,,06055,2020-02-25,6,9,51,,3,-2
Napa County,,06055,2020-02-26,4,7,29,,0,-1
Napa County,,06055,2020-02-27,4,10,32,,1,-1
Napa County,,06055,2020-02-28,6,7,9,,3,-1
Napa County,,06055,2020-02-29,10,6,27,,5,-2
Napa County,,06055,2020-03-01,12,7,10,,1,0
Napa County,,06055,2020-03-02,6,9,16,,4,-1
Napa County,,06055,2020-03-03,8,9,46,,2,-2
Napa County,,06055,2020-03-04,5,6,21,,1,0
Napa County,,06055,2020-03-05,5,10,30,,0,0
Napa County,,06055,2020-03-06,1,4,11,,2,0
Napa County,,06055,2020-03-07,1,-2,-10,,0,1
Napa County,,06055,2020-03-08,5,0,1,,1,1
Napa County,,06055,2020-03-09,5,4,37,,3,0
Napa County,,06055,2020-03-10,7,10,53,,2,-1
Napa County,,06055,2020-03-11,4,9,37,,-1,0
Napa County,,06055,2020-03-12,6,17,32,,-1,0
Napa County,,06055,2020-03-13,2,13,16,-4,-8,3
Napa County,,06055,2020-03-14,-10,3,-30,,-7,5
Napa County,,06055,2020-03-15,-17,5,-32,,-6,6
Napa County,,06055,2020-03-16,-3,19,-10,-9,-19,7
Napa County,,06055,2020-03-17,-15,12,20,,-27,10
Napa County,,06055,2020-03-18,-22,4,-20,-20,-34,14
Napa County,,06055,2020-03-19,-22,5,19,-11,-37,14
Napa County,,06055,2020-03-20,-39,-17,5,-24,-44,19
Napa County,,06055,2020-03-21,-50,-29,24,-34,-43,15
Napa County,,06055,2020-03-22,-52,-30,24,,-45,
Napa County,,06055,2020-03-23,-40,-25,-5,-28,-44,19
Napa County,,06055,2020-03-24,-43,-24,-31,-29,-50,22
Napa County,,06055,2020-03-25,-41,-24,-6,-42,-49,20
Napa County,,06055,2020-03-26,-40,-21,12,-36,-50,20
Napa County,,06055,2020-03-27,-42,-21,3,-31,-49,21
Napa County,,06055,2020-03-28,-56,-35,-46,-45,-50,18
Napa County,,06055,2020-03-29,-53,-34,-24,,-51,
Napa County,,06055,2020-03-30,-39,-26,8,-30,-46,19
Napa County,,06055,2020-03-31,-37,-21,29,-26,-50,18
Napa County,,06055,2020-04-01,-38,-22,19,-36,-49,20
Napa County,,06055,2020-04-02,-37,-18,22,-38,-51,21
Napa County,,06055,2020-04-03,-39,-19,27,-31,-50,21
Napa County,,06055,2020-04-04,-58,-38,-57,-55,-52,19
Napa County,,06055,2020-04-05,-59,-37,-52,,-52,
Napa County,,06055,2020-04-06,-44,-27,-37,-42,-50,21
Napa County,,06055,2020-04-07,-39,-19,17,-26,-50,19
Napa County,,06055,2020-04-08,-44,-25,-7,-33,-51,20
Napa County,,06055,2020-04-09,-42,-19,-7,-24,-53,21
Napa County,,06055,2020-04-10,-45,-19,11,-29,-54,23
Napa County,,06055,2020-04-11,-51,-28,-14,-34,-50,16
Napa County,,06055,2020-04-12,-61,-38,-2,,-52,
Napa County,,06055,2020-04-13,-41,-22,-2,-30,-46,18
Napa County,,06055,2020-04-14,-37,-17,22,-27,-47,18
Napa County,,06055,2020-04-15,-45,-18,1,-25,-48,19
Napa County,,06055,2020-04-16,-56,-21,-4,-31,-49,20
Napa County,,06055,2020-04-17,-59,-23,-9,-23,-46,21
Napa County,,06055,2020-04-18,-63,-29,-3,-25,-44,15
Napa County,,06055,2020-04-19,-64,-26,0,,-47,
Napa County,,06055,2020-04-20,-54,-23,0,-18,-46,18
Napa County,,06055,2020-04-21,-52,-16,35,-19,-46,17
Napa County,,06055,2020-04-22,-54,-19,11,-20,-46,18
Napa County,,06055,2020-04-23,-53,-16,15,-20,-47,19
Napa County,,06055,2020-04-24,-54,-20,10,-14,-47,19
Napa County,,06055,2020-04-25,-59,-23,14,-32,-41,13
Napa County,,06055,2020-04-26,-59,-17,34,,-46,
Napa County,,06055,2020-04-27,-49,-18,18,-9,-42,17
Napa County,,06055,2020-04-28,-49,-14,25,-11,-44,8
Napa County,,06055,2020-04-29,-50,-19,10,-15,-45,18
Napa County,,06055,2020-04-30,-45,-14,6,-9,-46,18
Napa County,,06055,2020-05-01,-45,-14,4,-2,-44,18
Napa County,,06055,2020-05-02,-53,-24,12,-24,-40,13
Napa County,,06055,2020-05-03,-52,-14,36,,-40,11
Napa County,,06055,2020-05-04,-42,-14,20,-4,-40,15
Napa County,,06055,2020-05-05,-40,-6,23,-7,-41,15
Napa County,,06055,2020-05-06,-45,-12,8,-15,-43,16
Napa County,,06055,2020-05-07,-43,-9,24,-12,-43,16
Napa County,,06055,2020-05-08,-44,-10,21,-5,-42,17
Napa County,,06055,2020-05-09,-46,-5,40,-10,-38,10
Napa County,,06055,2020-05-10,-49,0,26,,-38,9
Napa County,,06055,2020-05-11,-48,-20,-29,-26,-41,17
Napa County,,06055,2020-05-12,-45,-12,-1,-12,-41,16
Napa County,,06055,2020-05-13,-46,-17,-15,-18,-41,17
Napa County,,06055,2020-05-14,-44,-14,17,-14,-43,17
Napa County,,06055,2020-05-15,-43,-14,44,-9,-41,16
Napa County,,06055,2020-05-16,-46,-16,,-8,-36,10
Napa County,,06055,2020-05-17,-49,-21,14,,-41,11
Napa County,,06055,2020-05-18,-45,-19,1,-27,-40,16
Napa County,,06055,2020-05-19,-41,-14,54,-4,-39,14
Napa County,,06055,2020-05-20,-39,-14,35,-18,-41,15
Napa County,,06055,2020-05-21,-39,-10,54,-10,-41,14
Napa County,,06055,2020-05-22,-38,-9,,3,-40,15
Napa County,,06055,2020-05-23,-41,-12,,-13,-31,8
Napa County,,06055,2020-05-24,-33,-8,191,,-33,7
Napa County,,06055,2020-05-25,-37,-12,,-25,-70,20
Napa County,,06055,2020-05-26,-36,-7,75,-9,-38,13
Napa County,,06055,2020-05-27,-37,-11,45,-26,-36,14
Napa County,,06055,2020-05-28,-37,-10,62,-13,-38,14
Napa County,,06055,2020-05-29,-38,-14,38,-8,-34,14
Napa County,,06055,2020-05-30,-43,-18,24,,-25,10
Napa County,,06055,2020-05-31,-32,-13,85,,-24,8
Napa County,,06055,2020-06-01,-32,-8,,-8,-33,12
Napa County,,06055,2020-06-02,-32,-3,54,-7,-35,12
Napa County,,06055,2020-06-03,-32,-7,51,-16,-36,13
Napa County,,06055,2020-06-04,-31,-4,46,3,-36,13
Napa County,,06055,2020-06-05,-30,-8,,7,-34,13
Napa County,,06055,2020-06-06,-31,-10,85,,-23,7
Napa County,,06055,2020-06-07,-21,-8,113,,-25,7
Napa County,,06055,2020-06-08,-29,-10,,-2,-32,10
Napa County,,06055,2020-06-09,-29,-6,,-23,-34,11
Napa County,,06055,2020-06-10,-30,-10,63,-21,-34,11
Napa County,,06055,2020-06-11,-28,-7,69,-14,-35,11
Napa County,,06055,2020-06-12,-31,-11,58,-14,-34,12
Napa County,,06055,2020-06-13,-27,-9,,-11,-20,6
Napa County,,06055,2020-06-14,-18,-8,180,,-23,5
Napa County,,06055,2020-06-15,-27,-9,,-11,-34,10
Napa County,,06055,2020-06-16,-26,-6,,-21,-34,10
Napa County,,06055,2020-06-17,-25,-8,65,-26,-34,11
Napa County,,06055,2020-06-18,-26,-5,63,-13,-36,10
Napa County,,06055,2020-06-19,-25,-7,92,-9,-35,10
Napa County,,06055,2020-06-20,-23,-3,,,-20,4
Napa County,,06055,2020-06-21,-21,-2,174,,-20,3
Napa County,,06055,2020-06-22,-25,-12,,-11,-35,10
Napa County,,06055,2020-06-23,-22,-8,,-10,-36,9
Nevada County,,06057,2020-02-15,1,-7,12,-14,-3,0
Nevada County,,06057,2020-02-16,21,4,68,18,-2,-1
Nevada County,,06057,2020-02-17,11,-2,99,-21,-30,4
Nevada County,,06057,2020-02-18,7,-2,41,-27,2,-1
Nevada County,,06057,2020-02-19,3,0,42,-35,1,0
Nevada County,,06057,2020-02-20,6,3,56,-38,0,0
Nevada County,,06057,2020-02-21,1,-1,45,-29,-2,0
Nevada County,,06057,2020-02-22,0,-7,32,-30,-2,-1
Nevada County,,06057,2020-02-23,4,-3,45,-23,-2,-1
Nevada County,,06057,2020-02-24,-1,2,21,-39,4,-1
Nevada County,,06057,2020-02-25,3,-1,35,-36,4,-1
Nevada County,,06057,2020-02-26,4,0,33,-40,3,-1
Nevada County,,06057,2020-02-27,3,2,33,-42,3,-1
Nevada County,,06057,2020-02-28,-2,1,26,-37,2,0
Nevada County,,06057,2020-02-29,-2,-7,11,-40,-2,-1
